stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
B074,B074,Frăției,"str. Frăției, nr. 33, bl. 722",46.166680,21.352990
B075,B075,Gara Aradul Nou,"str. Stefan cel Mare, nr. 65",46.145320,21.334380
B076,B076,Gara Aradul Nou,"str. Ștefan cel Mare, nr. 65",46.145320,21.334550
B077,B077,Gara CFR,"Bulevardul Revoluției, nr.9",46.187250,21.325820
B079,B079,Gorunului,"str. Gorunului, nr.7",46.196010,21.333120
B080,B080,Gorunului,"str. Gorunului, nr.8",46.196090,21.333100
B081,B081,IAS Mureșul,IAS MUREȘ,46.172560,21.238000
B082,B082,Independenței,"str. Independenței, nr.2",46.192650,21.288000
B083,B083,Independenței,"str. Independenței, nr.4",46.192890,21.286750
B084,B084,Infanteriei,"str. Cetății, nr.13",46.161180,21.329930
B085,B085,Infanteriei,"str. Cetății, nr.13",46.161610,21.329990
B086,B086,Ion Rațiu,"str. I.Rațiu, nr.50",46.180840,21.303770
B087,B087,Ion Rațiu,"str. I.Rațiu, nr.35",46.180740,21.304160
B088,B088,Izvor,str. Fagului colț cu Izvor,46.213210,21.282830
B089,B089,Izvor,str. Fagului colț cu Izvor,46.213070,21.282810
B090,B090,Lacului,"str. Corneliu Coposu, nr.2",46.183240,21.322720
B091,B091,Liviu Rebreanu,"str. Liviu Rebreanu, nr.34",46.178540,21.303400
B092,B092,Liviu Rebreanu,"str. Liviu Rebreanu, nr.27",46.178540,21.304270
B093,B093,Maranata,"B-dul N.Titulescu, bl.302, sc. C",46.178690,21.341430
B094,B094,Maranata,"B-dul N.Titulescu, bl.301",46.179040,21.341020
B095,B095,Mănăstire Gai,str. Ion Creangă colț cu Dunării,46.216760,21.274290
B096,B096,Mănăstire Gai,str. Ion Creangă colț cu Dunării,46.216740,21.274490
B097,B097,Miorița,"Calea Radnei, nr.144-146",46.179650,21.346630
B098,B098,Miorița,"Calea Radnei, nr.121",46.179580,21.347790
B099,B099,Ogorului,"str. Ogorului, nr.6",46.141110,21.320070
B100,B100,Ogorului,"str. Ogorului, nr.9",46.141000,21.319820
B101,B101,Parcul Reconcilierii,"str. Vârful cu Dor, nr.11",46.171090,21.308290
B102,B102,Piața Bujac,"str. Independentei, nr.24/4",46.192970,21.282540
B103,B103,Piața Bujac,"str. Independenței, nr. 24/5",46.192930,21.282020
B106,B106,Piața Spitalului,"str. Banu Mărăcine, FN",46.182610,21.311660
B107,B107,Piața Spitalului,"P-ța Spitalului, bl.5, sc.C",46.181190,21.309330
B108,B108,Piața Spitalului,"Calea Victoriei, bl.1A",46.183320,21.309820
B109,B109,Podgoria,"Calea Iuliu Maniu, nr.2-10",46.182360,21.324530
B110,B110,Podgoria,"B-dul Revoluției, nr.22, Podgoria terasa",46.183080,21.324810
B111,B111,Pomenirea,"Calea Bodrogului, nr.4",46.169230,21.290930
B112,B112,Pomenirea,"Calea Bodrogului, nr.4",46.169110,21.290340
B113,B113,Pomenirea,"str. Pădurii, nr.165",46.168800,21.291630
B114,B114,Pomenirea,"str. Pădurii, nr.151",46.169570,21.292060
B116,B116,Radu Negru,"str. Câmpurilor, nr.27",46.218290,21.283280
B117,B117,Radu Negru,"str. Câmpurilor, nr.23",46.218010,21.283540
B119,B119,Rândunicii,"str. Rândunicii, nr.56",46.197960,21.326720
B121,B121,Râșnov,"str. Râșnov, nr.4",46.199270,21.323570
B122,B122,Real,Parcarea Magazinului Real,46.169730,21.378770
B123,B123,Renașterii,"str. Voinicilor, nr.11-13",46.170310,21.359520
B125,B125,Renașterii,"Calea Radnei, nr.176",46.176820,21.360070
B127,B127,Saturn,"str. Poetului, nr.36",46.202380,21.298110
B128,B128,Saturn,"str. Poetului, nr.40",46.202510,21.297860
B130,B130,Sânicolaul Mic,"str. Steagului, nr.85-86",46.135600,21.352600
B133,B133,Simion Bărnuțiu,"Calea Victoriei, nr.38",46.186728,21.310016
B134,B134,Simion Bărnuțiu,"Calea Victoriei, nr.15-17",46.186550,21.309800
B135,B135,Ștefan Zarie,"str. Steagului, nr.51-53",46.138770,21.346220
B136,B136,Ștefan Zarie,"str. Steagului, nr.76",46.138710,21.346060
B138,B138,Toth Arpad,"str. Poetului, nr.114",46.211640,21.290760
B139,B139,Toth Arpad,"str. Poetului, nr.127",46.211910,21.290330
